index,source_url,sha256,width,height,keyword_hits,ocr_excerpt,error
1,https://q2.itc.cn/q_70/images03/20260623/2086e046c12343ada9cd1e7e3694ac04.jpeg,5feca17d14d970753cb061150f3e4c04c077a9ff0f25bbbcbd0dfd19c223475b,1080,810,,"一 ee . Ba Sew ak ge Sh --"" to to. Ea Sal [ncn ted 2 =] ie ea Ce os Cy 8 bed ed { ey Be, 人 各医= | = oe ad A= eX Foe e +4 en s pe rye 2 HT =, oe Gre Es aw », 78% re ,一 二 eee eee Says ew of aN 有 bY Gh ‘Ta ak i "" i — CJ * 3 于 % ‘pe j | \ a “cal ) | | aa | | | | a \ ( Pe Se",
2,https://q4.itc.cn/q_70/images03/20260623/13c9fffd9b6647a28c8f773db8194b4d.jpeg,2d0fba241491c6f8bd9e0a0d1f3e82c4992be6e01d976643e14db5c604ec2f5f,1080,608,,"ny | ‘penne a _ 区 -~ a _ i ae its ame | Les ths TY aE i -一 号 E ae mind UT HE JSR Pa iT 加 一 = ag - 一 次 ~ al) ile _ | . Brey Pg ln Oe 2) —, 4 ee pee — || RE 村 ae ae —— g a ee pl ek i ld oN ot Sa a a ae ‘i ins As = = eee lag ai - ee ie ve ry ae ， ry tite, Ae a Ea li matelcees, ee 7 gees, = Z pe Pte fae |",
3,https://q5.itc.cn/q_70/images03/20260623/31b92e6ef07f445c94585908e10a209e.png,00f890e74552b8f4802dab45ab77a3bc5d94a847a3e36df59bcf4275519e222e,1080,678,,BBOR00 = EER EPH 外 na wit Bs aff ——— |,
4,https://q5.itc.cn/q_70/images03/20260623/84e1c8de664749bca25bc999bf2064a5.jpeg,7d41b610a9a722b3d3fba4a90786f730424fb3820b734ca9627e28117f2c2e8d,1080,629,,~ £T Sh 1) ie BS Be Y 六位体验1次 am > — as — eo 2 <i =,
5,https://q5.itc.cn/q_70/images03/20260623/e82ffdbb7740456290b8459dc92a0eef.jpeg,b49eef8a58a1a9db822b61b27dbbd2c7ddd2e0cc4472968d2f446c1c89b18c58,1080,1058,,"2 站 SS ff E > Dy, f \ im , Le ¥ ig [hereon - 5 TRNA = Et “G: = ’ se =X x 一 Ys pate y owe a BS 二 Ss = ™® >. aay Ss ae getty J Sees eee NS MASSES ; ites NS SRS， a a . a ha jas We S dr ‘eZ 2 sie 有 Po atte : ome 二 OS x, 8 ce Se ii £48 2 2 “ i 4 RS SV SSS » £4243 2320 (24 r Bat ek Bey eT",
6,https://q6.itc.cn/q_70/images03/20260623/41c847c69f3c4be284cffa7cdf17beed.png,a6a772edd069f38502e70dba1106a4e8ac908488d894b6a4462812125ff85836,1080,575,,‘ PE” ~ 82) a id ~ S ope —_ = 兮 1 a: rae y 和 in bY we t hy < 8 -_ i CY =~ € Ba ie j - LL <7 AI 一 “请 <= LP ve | HA a — i~ . “a ;,
7,https://q8.itc.cn/q_70/images03/20260623/0053b275f2a94fff984f014de289cbaa.jpeg,eed27c6a592beebc5d359797400d0f670dddab85a10dd9e1bc689b90351d2156,1080,645,,区二 ¢ “ell +7) ee eo ] T Sa « S amasnaeee nT de S ae “< 这 <i Ea Ge EN : 区j » ba is = — za gq tf Fo) {a0 48 One 1 2X | ae 2 ey Sl i 4 ro be YS ae Oy ta A,
8,https://q8.itc.cn/q_70/images03/20260623/27fac0fbdd724c60aa98993ddbc8e77b.png,6146634e8d26aeefffb12a855d13d4f8e0c3bdce68821ef280f7a49fc920a5b1,1080,508,实验学校,"实验学校“诵读红色经典。 ME” HRD “=|, 3 & & wa | 一 eal i” DB | 3 Sls 2s es 232M | i ete meee a am ee ""le — eT 上",
9,https://q8.itc.cn/q_70/images03/20260623/85697943032049b7addf646080f2b081.jpeg,53bf077d4133cf211955d59435e440ad8567b1eb8f155764e6a105ed0b4cbcef,1080,810,,"玫 一 Wa § ate 从 Wg oy i Be : a ie ieee 之 — Ke fs filet * ye y * 和 Wes hig pe, abst > = 未 a 4a ee HE aie ae 局 《TAN ot ae Ws | 0 S v a 1 2 wna q ra 本 —= i Ni Tie 一一 sm 1 ie a 一 = == . = SS = Whe — ———— Pa ——_ - I ae - ia Pees | ea \ ae 人 四， meee oh le =="" le E 一 i ae ees ="") pene 2 - “ + id ai | | amy) | 2 Se: i a | |",
10,https://q8.itc.cn/q_70/images03/20260623/ec161fff98894435ae937f8dc0369c28.jpeg,a20d2d0ad5ad95e4d8081007242fd8da76a3f52309dc97776584251953b1001c,1080,639,,® % QD en ee ae es ~ Ne Truehhua ExremeNTAL CHOOL = : 小 管理 ma : ' = : = Sa Jet. 一二 J 一 Seas - >,
